Date,GOOG,AAPL,MSFT,AMZN,NASDAQ
2018-03-28,50.228001,39.737804,84.57531,71.570999,6949.22998
2018-03-29,51.5895,40.0481,86.35405,72.366997,7063.450195
2018-04-02,50.323502000000005,39.785545,83.752167,68.599503,6870.120117
2018-04-03,50.670502,40.193709999999996,84.878098,69.602501,6941.279785
2018-04-04,51.257,40.962303000000006,87.356987,70.528503,7042.109863
2018-04-05,51.390499,41.246346,87.404282,72.587502,7076.549805
2018-04-06,50.352001,40.19133,85.370087,70.26149699999999,6915.109863
2018-04-09,50.772498999999996,40.589939,85.880997,70.304001,6950.339844
2018-04-10,51.582001,41.35376,87.87735,71.810997,7094.299805
2018-04-11,50.998501,41.160419,86.912277,71.352501,7069.029785
2018-04-12,51.6255,41.566204,88.539642,72.425003,7140.25
2018-04-13,51.463501,41.707035,88.066582,71.539497,7106.649901999999
2018-04-16,51.898998,41.967197,89.097862,72.074997,7156.279785
2018-04-17,53.708,42.544853,90.895531,75.191498,7281.100098000001
2018-04-18,53.604,42.449368,91.245598,76.391998,7295.240234000001
2018-04-19,54.384997999999996,41.246346,90.933388,77.845497,7238.060059
2018-04-20,53.647999,39.556396,89.883163,76.374496,7146.129883
2018-04-23,53.372501,39.441826,90.21431,75.89299799999999,7128.600098000001
2018-04-24,50.999001,38.892826,88.104424,73.004501,7007.350098000001
2018-04-25,51.058997999999995,39.062302,87.33805100000001,73.008499,7003.740234000001
2018-04-26,52.001999,39.198357,89.183022,75.898003,7118.680176000001
2018-04-27,51.502499,38.744839,90.658997,78.630997,7119.799805
2018-04-30,50.866501,39.446598,88.48288000000001,78.306503,7066.27002
2018-05-01,51.865501,40.363186,89.883163,79.112999,7130.700195
2018-05-02,51.219002,42.146233,88.473434,78.484001,7100.899901999999
2018-05-03,51.186001,42.222603,89.00325,78.603996,7088.149901999999
2018-05-04,52.4105,43.879146999999996,90.034538,79.047501,7209.620117
2018-05-07,52.739498,44.196609,91.03744499999999,80.00700400000001,7265.209961
2018-05-08,52.695499,44.40905,90.649521,79.619499,7266.899901999999
2018-05-09,54.138,44.721745,91.718681,80.400002,7339.910156
2018-05-10,54.878502000000005,45.361435,92.636436,80.454002,7404.970215
2018-05-11,54.912997999999995,45.188915,92.437721,80.1455,7402.879883
2018-05-14,55.009997999999996,45.083496000000004,92.749962,80.077003,7411.319823999999
2018-05-15,53.961498,44.673744,92.078209,78.806,7351.629883
2018-05-16,54.088501,45.090668,92.31575,79.363998,7398.299805
2018-05-17,53.929501,44.805531,91.39404300000001,79.087997,7382.470215
2018-05-18,53.318001,44.642593,91.565102,78.718498,7354.339844
2018-05-21,53.979,44.958881,92.743378,79.273003,7394.040039
2018-05-22,53.4865,44.846268,92.64834599999999,79.07,7378.459961
2018-05-23,53.984501,45.133808,93.750641,80.093002,7425.959961
2018-05-24,53.962002000000005,45.083496000000004,93.418037,80.153503,7424.430176000001
2018-05-25,53.783001,45.186512,93.465546,80.5075,7433.850098000001
2018-05-29,53.015999,45.023586,93.13298,80.643501,7396.589844
2018-05-30,53.389998999999996,44.927734,94.02619200000001,81.244499,7462.450195
2018-05-31,54.2495,44.776779,93.921654,81.481003,7442.120117
2018-06-01,55.974998,45.584282,95.77464300000001,82.077003,7554.330078
2018-06-04,56.9645,45.965267,96.61084699999999,83.26349599999999,7606.459961
2018-06-05,56.983002,46.319889,97.104973,84.817497,7637.859863
2018-06-06,56.844002,46.480438,97.390038,84.787498,7689.240234000001
2018-06-07,56.193001,46.355843,95.860168,84.464996,7635.069823999999
2018-06-08,56.043499,45.934124,96.57283000000001,84.199501,7645.509765999999
2018-06-11,56.4995,45.821503,96.02170600000001,84.456001,7659.930176000001
2018-06-12,56.966,46.073097,96.26876800000001,84.9375,7703.790039
2018-06-13,56.739498,45.694496,95.831642,85.24299599999999,7695.700195
2018-06-14,57.605999,45.71846,96.373276,86.193001,7761.040039
2018-06-15,57.612999,45.248821,95.147469,85.7985,7746.379883
2018-06-18,58.673,45.22485,95.841164,86.189499,7747.029785
2018-06-19,58.403,44.494038,95.841164,86.738998,7725.589844
2018-06-20,58.492001,44.688117999999996,96.800896,87.503998,7781.509765999999
2018-06-21,57.882999,44.438927,96.107239,86.511002,7712.950195
2018-06-22,57.773998,44.309521000000004,95.413551,85.783501,7692.819823999999
2018-06-25,56.240501,43.650589000000004,93.494057,83.157501,7532.009765999999
2018-06-26,55.923,44.19212,94.149727,84.554497,7561.629883
2018-06-27,55.199001,44.127426,92.68634,83.025497,7445.080078
